Date,Open,High,Low,Close,Volume,Adj Close
2002-10-16,48.25,48.66,47.60,48.04,4151800,12.43
2002-10-15,47.80,48.40,47.75,48.25,4851500,12.48
2002-10-14,45.75,47.53,45.52,47.34,4041300,12.25
2002-10-11,45.65,46.30,45.37,45.75,7551100,11.84
2002-10-10,44.66,45.56,44.03,45.47,8797300,11.76
2002-10-09,45.95,46.45,44.60,44.66,4967400,11.55
2002-10-08,46.55,46.68,45.27,46.46,6080400,12.02
2002-10-07,47.50,48.05,45.94,45.95,6310500,11.89
2002-10-04,48.62,49.10,46.60,46.95,4887700,12.15
2002-10-03,47.35,48.90,47.05,48.62,6514600,12.58
2002-10-02,48.11,49.11,47.10,47.30,5053000,12.24
2002-10-01,46.00,48.11,45.92,48.11,8308600,12.45
2002-09-30,47.22,47.22,45.87,46.24,6699300,11.96
2002-09-27,48.93,49.59,47.70,47.72,6335400,12.35
2002-09-26,48.45,49.46,48.30,49.18,7251800,12.72
2002-09-25,47.50,48.37,46.77,48.04,5467500,12.43
2002-09-24,48.20,48.20,47.11,47.27,5748200,12.23
2002-09-23,48.81,49.19,47.80,48.45,6389200,12.54
2002-09-20,49.95,50.13,48.80,48.80,7169700,12.63
2002-09-19,49.83,50.66,49.53,49.84,5132200,12.89
2002-09-18,49.95,50.78,49.06,50.33,5236400,13.02
2002-09-17,51.20,51.35,49.95,49.95,6918900,12.92
2002-09-16,51.15,51.88,51.05,51.88,4992100,13.42
2002-09-13,51.50,52.20,51.45,51.95,3738800,13.44
2002-09-12,52.46,52.50,51.78,52.14,6333500,13.49
2002-09-11,52.35,52.70,52.30,52.46,4886900,13.57
2002-09-10,51.40,52.14,51.35,52.11,8706800,13.48
2002-09-09,51.22,51.48,50.65,51.26,5935000,13.26
2002-09-06,51.95,52.25,51.15,51.33,8408500,13.28
2002-09-05,51.40,51.97,50.80,51.60,9772800,13.35
2002-09-04,52.95,52.95,50.72,51.70,12144200,13.38
2002-09-03,52.58,53.20,51.86,52.70,11410700,13.63
2002-08-30,51.64,53.13,51.48,52.58,8629700,13.60
2002-08-29,51.30,51.60,50.52,51.55,4874600,13.34
2002-08-28,50.80,51.70,50.69,51.50,3853700,13.32
2002-08-27,52.51,52.95,51.77,51.85,3273700,13.41
2002-08-26,52.00,52.10,51.19,51.99,2805600,13.45
2002-08-23,52.75,52.76,51.65,51.81,2466600,13.40
2002-08-22,52.00,52.97,51.70,52.79,4791700,13.66
2002-08-21,51.66,51.94,50.67,51.87,2921300,13.42
2002-08-20,52.26,52.26,50.91,51.43,2133700,13.31
2002-08-19,52.00,52.63,51.45,52.29,2843900,13.53
2002-08-16,52.16,52.35,51.53,51.83,3034600,13.41
2002-08-15,52.75,52.95,52.09,52.41,3544400,13.56
2002-08-14,51.30,52.40,50.45,52.27,3510300,13.52
2002-08-13,51.72,51.72,50.61,50.61,4203500,13.09
2002-08-12,51.78,51.82,50.78,51.73,2971400,13.38
2002-08-09,50.80,52.03,49.74,51.78,3395100,13.40
